# Digitized from CMS-DP-2015-015, page 8 (PDF page index 7).
# Source: https://cds.cern.ch/record/2037372/files/DP2015_015.pdf
# Approximate raster digitization; these are not official tabulated CMS data.
# Axis calibration: x pixels 111..660 -> -2..2; y pixels 429.5,280,130.5 -> 10,100,1000 events.
# Values clipped at/below the visible lower frame are written as nan.
# x_center prompt_tracker_muon prompt_muon_only displaced_muon_only standard_muon_only_displaced
1.11 nan 11.053 35.632 23.150
1.13 nan 7.999 40.930 14.810
1.15 nan 7.999 32.487 14.810
1.17 nan 13.503 32.487 22.448
1.19 nan 9.923 30.546 23.150
1.21 nan 10.077 28.282 22.796
1.23 nan nan 27.849 23.150
1.25 nan nan 28.721 26.185
1.27 nan nan 29.619 21.106
1.29 nan nan 25.785 21.434
1.31 nan nan 25.391 21.767
1.33 nan 10.077 27.005 15.752
1.35 nan nan 24.621 15.511
1.37 nan nan 24.621 18.949
1.39 nan nan 25.391 22.448
1.41 nan nan 24.621 13.503
1.43 nan nan 24.245 14.142
1.45 nan nan 21.106 14.810
1.47 nan nan 18.374 14.584
1.49 nan nan 18.949 16.496
1.51 nan nan 18.949 20.784
1.53 nan nan 18.660 22.796
1.55 nan nan 17.545 20.153
1.57 nan nan 17.277 21.434
1.59 nan nan 18.660 26.592
1.61 nan nan 18.374 30.079
1.63 nan 9.047 16.496 22.105
1.65 nan nan 16.753 22.448
1.67 nan nan 16.496 21.434
1.69 nan nan 16.496 21.106
1.71 nan nan 15.040 21.434
1.73 nan nan 12.311 17.013
1.75 nan nan 12.502 17.277
1.77 nan nan 12.311 17.277
1.79 nan nan 11.576 22.448
1.81 nan nan 13.713 18.094
1.83 nan nan 12.696 17.817
1.85 nan nan 12.502 17.817
1.87 nan nan 9.622 17.817
1.89 nan nan 11.053 18.949
1.91 nan nan 12.311 16.496
1.93 nan nan 12.123 16.244
1.95 nan nan 11.399 13.297
1.97 nan nan 11.755 13.094
1.99 nan nan 10.718 16.496
